# glossary links — en
#
# Generated by lib/glossary/report.test.ts from content/. Reviewed by hand, then frozen: any
# content change that moves a link shows up here as a diff. Do not hand-edit — fix the prose or
# the entry's `match` / `link` / `link_except` in glossary.yaml and regenerate.
#
# 643 web marks · 67 of them also a PDF link · 111 linkable terms the book never links
#
# lesson   policy  term id                      context, with the marked words in «»
m01-l1   WP      g-finality                   …ere is no chargeback and no support desk. The «finality» that protects you from censorship also remove…
m01-l1   WP      g-order-book                 …0 million tokens — really circulates, and the «order book» holds perhaps 200,000 USD of genuine bids. Th…
m01-l1   WP      g-bid                        …der book holds perhaps 200,000 USD of genuine «bids». That "2 billion" is almost entirely a tiny f…
m01-l1   WP      g-margin                     On a futures venue your «margin» is usually held in a stablecoin, so a de-peg …
m02-l1   W       g-stablecoin                 …nother — dollars into bitcoin, bitcoin into a «stablecoin». That part sounds simple, and the trading mos…
m02-l1   W       g-blockchain                 …DT, and buy BTC in one tap. Nothing touches a «blockchain» — the exchange just moves numbers between its…
m02-l1   W       g-margin                     …tures contracts covered later, where you post «margin» and never take possession of the coin — you o…
m02-l1   WP      g-slippage                   «slippage»
m02-l1   W       g-altcoin                    Suppose the asks on a thin «altcoin» read: 500 units at 2.00, then 800 at 2.02, th…
m03-l1   WP      g-trend                      …ow price organises itself over many candles — «trend», range, and support/resistance — gets its own…
m03-l1   WP      g-range                      …e organises itself over many candles — trend, «range», and support/resistance — gets its own, deepe…
m03-l1   WP      g-support                    … itself over many candles — trend, range, and «support»/resistance — gets its own, deeper treatment i…
m03-l1   WP      g-resistance                 …over many candles — trend, range, and support/«resistance» — gets its own, deeper treatment in the next …
m03-l1   WP      g-contract                   …the candle's period — the number of units (or «contracts») that changed hands. On its own it does not t…
m03-l1   WP      g-breakout                   In practice, compare two identical-looking «breakouts» to a new high. In the first, the breakout can…
m03-l1   WP      g-higher-high-hh             …aking net progress in one direction, printing «higher highs» and higher lows (an uptrend) or lower highs a…
m03-l1   WP      g-higher-low-hl              …s in one direction, printing higher highs and «higher lows» (an uptrend) or lower highs and lower lows (a…
m03-l1   WP      g-lower-high-lh              … higher highs and higher lows (an uptrend) or «lower highs» and lower lows (a downtrend) — or it is
m03-l1   WP      g-lower-low-ll               …d higher lows (an uptrend) or lower highs and «lower lows» (a downtrend) — or it is
m03-l2   W       g-candle                     …previous lesson gave you the raw vocabulary — «candles», timeframes, volume — and a first glance at t…
m03-l2   W       g-timeframe                  …lesson gave you the raw vocabulary — candles, «timeframes», volume — and a first glance at trend versus …
m03-l2   W       g-volume                     …you the raw vocabulary — candles, timeframes, «volume» — and a first glance at trend versus range an…
m03-l2   W       g-higher-high-hh             «higher highs» and higher lows
m03-l2   W       g-higher-low-hl              higher highs and «higher lows»
m03-l2   WP      g-pullback                   …HH + HL): each peak clears the last, and each «pullback» bottoms out above the previous pullback.
m03-l2   W       g-lower-high-lh              «lower highs» and lower lows
m03-l2   W       g-lower-low-ll               lower highs and «lower lows»
m03-l2   WP      g-imbalance                  …ush past the last ceiling (higher highs), the «imbalance» is intact. The trend is "broken" not when pri…
m03-l2   W       g-breakout                   . Neither side can force a «breakout»; buyers defend the floor, sellers cap the cei…
m03-l2   W       g-wick                       …nd numbers (60,000), prior candle bodies, old «wicks» and clustered stop orders all sit near each o…
m03-l2   W       g-bid                        …hich is partly self-fulfilling — buyers place «bids» into an old support because they expect
m03-l2   WP      g-retest                     …hem now want a second chance, so they buy the «retest», turning the old ceiling into a new floor.
m03-l2   WP      g-wall                       , not a «wall», and the trader who treats support as a guara…
m03-l2   W       g-order-book                 …On weekends, holidays and dead off-hours, the «order book» thins out. With fewer resting orders, a relat…
m03-l2   W       g-altcoin                    On a small-cap «altcoin» the resting liquidity is so thin that a singl…
m03-l2   WP      g-leverage                   Crowded «leverage» adds fuel.
m03-l2   WP      g-funding                    …rpetual, when positioning gets one-sided (see «funding», later), a sharp move can trigger a cascade o…
m03-l2   WP      g-cascade                    …e funding, later), a sharp move can trigger a «cascade» of forced closes — liquidations — that briefl…
m03-l2   WP      g-liquidation                …move can trigger a cascade of forced closes — «liquidations» — that briefly pierces a level far past where…
m03-l2   WP      g-order-flow                 …riefly pierces a level far past where genuine «order flow» would take it, then recovers. Another false b…
m04-l1   WP      g-expiry                     no «expiry» date
m04-l1   W       g-stablecoin                 in the contract's value, usually in a «stablecoin» like USDT. That is what lets you go short as …
m04-l1   WP      g-position-size              …o take the other side of. It is also why your «position size» is measured in
m04-l1   WP      g-notional                   «notional»
m04-l1   W       g-order-book                 …jumpy and easy to spike, especially on a thin «order book» where a single large order can punch through …
m04-l1   W       g-spot                       , built from the wider index of «spot» prices across many venues (plus a small fundi…
m04-l1   WP      g-pnl                        Your unrealised «PnL» and — critically — your
m04-l1   W       g-liquidation                «liquidation»
m04-l1   W       g-wick                       …el tracked the last trade, a single momentary «wick» on one thin venue could force-close thousands…
m04-l1   W       g-leverage                   …tion module: a long entered at 9,500 with 10× «leverage» has its forced-close level (measured on
m04-l1   WP      g-funding-rate               «funding rate»
m04-l1   WP      g-fee                        "Funding is a «fee» the exchange charges." It is not. Funding is …
m04-l1   W       g-candle                     …ugh their liquidation number during a violent «candle» and closes the position themselves, in a pani…
m05-l1   W       g-stablecoin                 …it is itself an asset with its own risk — the «stablecoin» holding it can lose its peg, which the founda…
m05-l1   WP      g-liquidation-price          …e the position is liquidated. (Computing that «liquidation price» exactly is the next module.)
m05-l1   W       g-liquidation                «Liquidation»
m05-l1   W       g-fee                        … the distance to a forced close. Once you add «fees» and the risk of being liquidated by ordinary …
m05-l1   W       g-pullback                   …that doubles your upside on paper is why a 5% «pullback» — noise, on most assets — can force your posi…
m05-l1   W       g-cascade                    Liquidation «cascades».
m05-l1   W       g-market-order               …age liquidation prices, one forced close is a «market order» that pushes price into the next cluster, whic…
m05-l1   W       g-wick                       … loop overshoots violently — the "liquidation «wick»" that spikes and instantly recovers. (The mec…
m05-l1   W       g-slippage                   …hole cluster of liquidation prices with heavy «slippage». A position that would have survived a weekda…
m05-l1   W       g-contract                   «contract» throughout — margined and settled in USDT, th…
m06-l1   W       g-margin                     …ange force-closing your position because your «margin» can no longer cover your losses. It is not a …
m06-l1   W       g-leverage                   …u enter, you control your risk. If you can't, «leverage» controls you.
m06-l1   W       g-notional                   — a fraction of the position's «notional» value. As price moves against you, your unrea…
m06-l1   W       g-maintenance-margin         «maintenance margin»
m06-l1   W       g-isolated-margin            «Isolated margin»
m06-l1   W       g-cross-margin               «Cross margin»
m06-l1   W       g-fee                        … a linear (USDT-margined) perpetual, ignoring «fees», the isolated liquidation price is driven by …
m06-l1   W       g-initial-margin             «initial margin» rate
m06-l1   W       g-order-book                 into the «order book»; to close a short it
m06-l1   W       g-bid                        . That forced order hits real «bids» or offers at whatever price is available.
m06-l1   W       g-short                      . The same runs upward when trapped «shorts» get force-bought in a squeeze.
m06-l1   WP      g-squeeze                    …ard when trapped shorts get force-bought in a «squeeze».
m06-l1   W       g-wick                       this is why "liquidation «wicks»" overshoot so violently and then snap back — …
m06-l1   W       g-candle                     and is gone within the same «candle»: the chart barely registers it. Your 50× posi…
m06-l1   W       g-altcoin                    …BTC absorb forced flow reasonably well; small «altcoins» have shallow books where a modest wave of liq…
m06-l1   WP      g-maker                      …uidity is thinnest on weekends — fewer market «makers», lower volume. The same forced-liquidation fl…
m06-l1   W       g-volume                     …nest on weekends — fewer market makers, lower «volume». The same forced-liquidation flow that a week…
m07-l1   W       g-mark-price                 …change recomputes it tick by tick against the «mark price» so it always knows what your position is wort…
m07-l1   W       g-candle                     …0 USDT in the bank; it is a snapshot the next «candle» can erase. And the asymmetry cuts against you…
m07-l1   W       g-margin                     …t the exchange watches to decide whether your «margin» still covers the position. Let an unrealized …
m07-l1   W       g-limit-order                order adds liquidity to the book — a «limit order» that rests and waits to be hit. A
m07-l1   W       g-market-order               order removes liquidity — a «market order», or a limit order that crosses the spread and…
m07-l1   W       g-spread                     …rket order, or a limit order that crosses the «spread» and executes immediately.
m07-l1   W       g-order-book                 An exchange is only usable if its «order book» is deep, and resting limit orders are what ma…
m07-l1   W       g-depth                      that «depth» — the maker — with the lower rate (sometimes …
m07-l1   W       g-notional                   «notional»
m07-l1   W       g-position-size              («position size» × price), not on your margin, so leverage mul…
m07-l1   W       g-leverage                   …osition size × price), not on your margin, so «leverage» multiplies its bite relative to the capital y…
m07-l1   WP      g-stop-market                , not one. «Stop-market» orders and forced closes execute as takers to…
m07-l1   W       g-funding                    «Funding» is a periodic payment exchanged directly betw…
m07-l1   W       g-long                       …a periodic payment exchanged directly between «longs» and shorts on a perpetual contract (it has it…
