# glossary links — es
#
# Generated by lib/glossary/report.test.ts from content/. Reviewed by hand, then frozen: any
# content change that moves a link shows up here as a diff. Do not hand-edit — fix the prose or
# the entry's `match` / `link` / `link_except` in glossary.yaml and regenerate.
#
# 562 web marks · 57 of them also a PDF link · 119 linkable terms the book never links
#
# lesson   policy  term id                      context, with the marked words in «»
m01-l1   WP      g-emission                   …"llamar a Bitcoin" y pedir que se duplique la «emisión»; cambiar una regla básica exige convencer a t…
m01-l1   WP      g-finality                   …no hay contracargo ni atención al cliente. La «irreversibilidad» que te protege de la censura también te quita…
m01-l1   WP      g-circulating-supply         enorme que en realidad es una «oferta circulante» minúscula multiplicada por un precio de fanta…
m01-l1   WP      g-order-book                 …de la oferta —10 millones de tokens— y que el «libro de órdenes» tiene quizá 200 000 USD de compras reales. Es…
m02-l1   W       g-stablecoin                 …o en otro: dólares en bitcoin, bitcoin en una «stablecoin». Esa parte suena sencilla, y operar lo es cas…
m02-l1   W       g-blockchain                 …SDT y compras BTC con un toque. Nada toca una «blockchain»; el exchange solo mueve números entre sus pro…
m02-l1   WP      g-margin                     …turos que veremos más adelante, donde aportas «margen» y nunca tomas posesión de la moneda: solo sal…
m02-l1   WP      g-slippage                   «slippage»
m02-l1   W       g-altcoin                    Supón que los asks de una «altcoin» poco líquida son: 500 unidades a 2,00, luego …
m03-l1   WP      g-trend                      …rganiza el precio a lo largo de muchas velas —«tendencia», rango y soportes/resistencias— tiene su prop…
m03-l1   WP      g-range                      …precio a lo largo de muchas velas —tendencia, «rango» y soportes/resistencias— tiene su propio trat…
m03-l1   WP      g-support                    … lo largo de muchas velas —tendencia, rango y «soportes»/resistencias— tiene su propio tratamiento, má…
m03-l1   WP      g-resistance                 … de muchas velas —tendencia, rango y soportes/«resistencias»— tiene su propio tratamiento, más a fondo, en…
m03-l1   WP      g-contract                   … periodo de la vela, el número de unidades (o «contratos») que cambiaron de manos. Por sí solo no te di…
m03-l1   WP      g-breakout                   En la práctica, compara dos «rupturas» a un nuevo máximo de aspecto idéntico. En la …
m03-l2   W       g-candle                     …ción anterior te dio el vocabulario en bruto —«velas», temporalidades, volumen— y un primer vistazo…
m03-l2   W       g-timeframe                  …terior te dio el vocabulario en bruto —velas, «temporalidades», volumen— y un primer vistazo a la tendencia …
m03-l2   W       g-volume                     … vocabulario en bruto —velas, temporalidades, «volumen»— y un primer vistazo a la tendencia frente al…
m03-l2   WP      g-pullback                   …HH + HL): cada pico supera al anterior y cada «retroceso» toca fondo por encima del retroceso previo.
m03-l2   WP      g-imbalance                  …basar el último techo (máximos más altos), el «desequilibrio» se mantiene. La tendencia se "rompe" no cuand…
m03-l2   WP      g-higher-low-hl              se rompe: cuando un retroceso perfora el «mínimo más alto» anterior.
m03-l2   WP      g-lower-low-ll               «mínimo más bajo»
m03-l2   W       g-breakout                   . Ninguno de los dos lados puede forzar una «ruptura»; los compradores defienden el suelo, los vend…
m03-l2   W       g-body                       …un número. Los números redondos (60.000), los «cuerpos» de velas previos, las mechas antiguas y los g…
m03-l2   W       g-wick                       …s (60.000), los cuerpos de velas previos, las «mechas» antiguas y los grupos de órdenes de stop se s…
m03-l2   WP      g-retest                     …n una segunda oportunidad, así que compran el «retest», convirtiendo el viejo techo en un nuevo suel…
m03-l2   WP      g-wall                       , no un «muro», y el trader que trata el soporte como un sue…
m03-l2   WP      g-long                       … promedia a la baja en una posición perdedora «en largo» «porque tiene que rebotar aquí», se salta el …
m03-l2   W       g-order-book                 …erre y sin una subasta diaria que reinicie el «libro de órdenes». Eso cambia cómo se comporta la estructura:
m03-l2   W       g-altcoin                    En una «altcoin» de baja capitalización la liquidez en reposo …
m03-l2   WP      g-leverage                   El «apalancamiento» amontonado añade combustible.
m03-l2   WP      g-funding                    …cionamiento se vuelve de un solo lado (ver el «funding», más adelante), un movimiento brusco puede di…
