# lesson references — es
#
# Generated by lib/refs/report.test.ts from content/. Reviewed by hand, then frozen: any content
# change that moves, adds or drops a reference shows up here as a diff. Do not hand-edit — fix
# the prose and regenerate.
#
# 211 references from 27 lessons · 0 self-mentions deliberately unlinked · 0 dangling
#
# lesson   mention  target          context, with the mention in «»
m03-l2   m27-l1   lesson m24-l1   … el paso de arriba abajo del plan de trading («m27-l1»).
m08-l1   m34-l1   lesson m30-l1   …ompaña— se mapea sobre esta misma mecánica en «m34-l1».
m08-l1   m15-l1   lesson m31-l1   … inclinadas —líneas de tendencia y canales— y «m15-l1» lo retoma, incluida la explicación honesta de…
m08-l2   m08      module m08      …nivel": en un soporte roto durante el retest («m08»), en un retroceso de Fibonacci (m13, paso 4),…
m08-l2   m13      module m13      …l retest (m08), en un retroceso de Fibonacci («m13», paso 4), en el spring que testea un rango de…
m08-l2   m09      module m09      … en el spring que testea un rango de Wyckoff («m09»). Esta lección por fin dice qué aspecto tiene…
m08-l2   m15-l2   lesson m31-l2   … serie de barras es la cuña y el triángulo de «m15-l2», y a lo largo de un régimen de mercado entero…
m08-l2   m16-l1   lesson m32-l1   … mercado entero es el ciclo de volatilidad de «m16-l1».
m08-l2   m13      module m13      …vel, no la vela. Es exactamente la postura de «m13», "el fib no crea el nivel": la vela tampoco c…
m08-l2   m13      module m13      …bres. Y como con los niveles autocumplidos de «m13», un nombre muy vigilado importa un poco más p…
m09-l1   m08-l2   lesson m08-l2   …as formas de vela que la registran— se lee en «m08-l2»), y acepta etiquetar un rango limpio sin tend…
m10-l1   m13      module m13      … la de 19. Importan por la misma razón que da «m13» para los niveles de Fibonacci: bastante gente…
m10-l1   m23-l1   lesson m20-l1   … hoy. Ajusta el par a tu periodo de tenencia («m23-l1», los estilos de trading) y luego léelo con la…
m11-l1   m10      module m10      …s. Ese es el cruce dorado (o de la muerte) de «m10», sobre el par 12/26, reportado en el panel de…
m11-l1   m10      module m10      …stenido para producirlo: el mismo retraso que «m10» mostraba para cualquier cruce de medias. Conf…
m11-l1   m12      module m12      …e precio y momentum sobre el que se construye «m12», captado un paso antes, en el histograma en l…
m11-l1   m08-l2   lesson m08-l2   …de dónde ocurre, y este es el mismo punto que «m08-l2» sostiene sobre una vela y m13 sobre un nivel …
m11-l1   m13      module m13      …mo punto que m08-l2 sostiene sobre una vela y «m13» sobre un nivel de Fibonacci.
m11-l1   m10      module m10      … parte. Esta es exactamente la advertencia de «m10» sobre los cruces de medias en un rango, y no …
m13-l1   m08-l2   lesson m08-l2   …ormas de vela que la registran— es el tema de «m08-l2».)
m31-l1   m03-l2   lesson m03-l2   …ue has trazado hasta ahora eran horizontales. «m03-l2» explicó por qué eso funciona: un precio es un…
m31-l1   m03-l2   lesson m03-l2   Horizontal («m03-l2»): las órdenes en reposo recuerdan un precio. …
