# lesson references — en
#
# Generated by lib/refs/report.test.ts from content/. Reviewed by hand, then frozen: any content
# change that moves, adds or drops a reference shows up here as a diff. Do not hand-edit — fix
# the prose and regenerate.
#
# 228 references from 29 lessons · 0 self-mentions deliberately unlinked · 0 dangling
#
# lesson   mention  target          context, with the mention in «»
m03-l2   m27-l1   lesson m24-l1   …r — is the top-down step of the trading plan («m27-l1»).
m08-l1   m34-l1   lesson m30-l1   …es with, is mapped onto this same mechanic in «m34-l1».
m08-l1   m15-l1   lesson m31-l1   … sloped lines — trendlines and channels — and «m15-l1» takes that up, including the honest account o…
m08-l2   m08      module m08      …e level" — at a broken support on the retest («m08»), at a Fibonacci pullback (m13 step 4), at th…
m08-l2   m13      module m13      …on the retest (m08), at a Fibonacci pullback («m13» step 4), at the spring that tests a Wyckoff r…
m08-l2   m09      module m09      …4), at the spring that tests a Wyckoff range («m09»). This lesson finally says what a reaction lo…
m08-l2   m15-l2   lesson m31-l2   …n of bars it is the wedge and the triangle of «m15-l2», and across a whole market regime it is the v…
m08-l2   m16-l1   lesson m32-l1   …e market regime it is the volatility cycle of «m16-l1».
m08-l2   m13      module m13      …ot the candle, does the work. This is exactly «m13»'s stance that "the fib doesn't create the lev…
m08-l2   m13      module m13      … are two mechanics wearing 60 names. And like «m13»'s self-fulfilling levels, a widely watched na…
m09-l1   m08-l2   lesson m08-l2   … the candle forms that record it — is read in «m08-l2»), and be willing to label a tidy range with n…
m10-l1   m13      module m13      …tter than 19. They matter for the same reason «m13» gives for Fibonacci levels: enough people wat…
m10-l1   m23-l1   lesson m20-l1   …today. Match the pair to your holding period («m23-l1», trading styles), then read it with the same …
m11-l1   m10      module m10      …-EMA has crossed the 26-EMA outright. That is «m10»'s golden cross (or death cross), on the 12/26…
m11-l1   m10      module m10      …es a sustained move to produce — the same lag «m10» showed for any MA cross. It confirms a regime…
m11-l1   m12      module m12      … disagreement between price and momentum that «m12» builds on, caught one step earlier, at the hi…
m11-l1   m08-l2   lesson m08-l2   …where it happens — and this is the same point «m08-l2» makes about a candle and m13 makes about a fi…
m11-l1   m13      module m13      …he same point m08-l2 makes about a candle and «m13» makes about a fib level.
m11-l1   m10      module m10      …one of them leads anywhere. This is precisely «m10»'s whipsaw warning about MA crosses in a range…
m13-l1   m08-l2   lesson m08-l2   …ndle forms that record it — is the subject of «m08-l2».)
m31-l1   m03-l2   lesson m03-l2   …el you have drawn so far has been horizontal. «m03-l2» explained why that works: a price is a place …
m31-l1   m03-l2   lesson m03-l2   Horizontal («m03-l2»): resting orders remember a price. If a shelf…
m31-l1   m08-l1   lesson m08-l1   The body decides, not the wick — exactly «m08-l1»'s rule for a horizontal level. A close beyond…
m31-l1   m14      module m14      Participation has to be behind it — «m14», volume and confirmation. A break nobody join…
m31-l1   m19-l2   lesson m17-l2   …tting at a known place, which is the whole of «m19-l2». A move into it triggers them, and the burst …
m31-l1   m03-l2   lesson m03-l2   In a market with no rhythm. A range («m03-l2») has horizontal bounds and no rate of advance…
m31-l2   m08-l2   lesson m08-l2   «m08-l2» taught you a single candle whose range collap…
m31-l2   m15-l1   lesson m31-l1   Take the channel from «m15-l1» and let the two lines converge instead of run…
m31-l2   m14      module m14      …ble exhaustion of a rhythm — the same reading «m14»'s price/ volume divergence gives you, and it …
m31-l2   m13      module m13      …cs without a mechanism, which is exactly what «m13» says about a Fibonacci ratio and m10-l1 about…
m31-l2   m10-l1   lesson m10-l1   …tly what m13 says about a Fibonacci ratio and «m10-l1» about the 200-day average. If a tilt exists, …
m31-l2   m16      module m32      … compression is, and it is the same statement «m16» makes about a whole market regime.
m31-l2   m08-l1   lesson m08-l1   A body closing beyond the line, not a wick («m08-l1», and see m15-l1 on why a wick through a diago…
m31-l2   m15-l1   lesson m31-l1   … beyond the line, not a wick (m08-l1, and see «m15-l1» on why a wick through a diagonal is worth eve…
m31-l2   m14      module m14      Participation behind it («m14»). A coil is quiet by construction, so volume …
m31-l2   m13      module m13      …e, which is the same self-fulfilling argument «m13» makes about the 0.618 — and it has the same e…
m31-l2   m15-l1   lesson m31-l1   …o break" is entering on a shape, which is the «m15-l1» error — thesis first, line second — with an e…
m32-l1   m08-l2   lesson m08-l2   «m08-l2» gave you a single compression candle and m15-…
m32-l1   m15-l2   lesson m31-l2   …8-l2 gave you a single compression candle and «m15-l2» gave you a compression pattern. This lesson t…
m32-l1   m11      module m11      … market is where price lives — the same error «m11» named for an overbought RSI, wearing a differ…
m32-l1   m19-l2   lesson m17-l2   Liquidity squeeze / short squeeze («m19-l2»): a market event — price rises into a pocket …
m32-l1   m19      module m17      … closing reading, and it is the same shape as «m19»'s open interest and funding:
m32-l1   m08-l1   lesson m08-l1   … same body-close and participation discipline «m08-l1» and m14 ask for everywhere else.
m32-l1   m14      module m14      …close and participation discipline m08-l1 and «m14» ask for everywhere else.
m32-l1   m22      module m19      …ere is a position sized on nothing — which is «m22», risk management, and m26, the psychology of …
m32-l1   m26      module m23      … nothing — which is m22, risk management, and «m26», the psychology of mistakes, again.
m15-l1   m23-l1   lesson m20-l1   …actually present, which is the session map in «m23-l1».
m15-l1   m20      module m18      …e idea from inside: a large token unlock (see «m20») drops new supply on a published date, and ex…
m15-l1   m19-l2   lesson m17-l2   …s parked past a visible cluster of stops (see «m19-l2») is fuel waiting for the spark the print prov…
m17-l1   m21-l1   lesson m34-l1   …remium — it is a strategy people run at size. «m21-l1» goes and lives inside it: who does it, what i…
m17-l2   m16-l1   lesson m32-l1   … push price the way that forces more of them. «m16-l1» teaches a completely unrelated thing under th…
m34-l1   m19-l1   lesson m17-l1   «m19-l1», derivatives data, mentioned an arbitrage in …
