# TradeSchool Phase W1 — libm parity artifact
# Produced by backend/scripts/measure_libm_parity.py; the Kotlin-side contract is in
# backend/scripts/measure_libm_parity_kotlin_side.md (runnable reference: kotlin_side/).
# Columns: fn, input, numpy, libm — each an IEEE-754 double's exact bit pattern, big-endian.
# `numpy` is the value the goldens were captured from and the value a port must reproduce.
# `libm` is math.exp/math.log, i.e. the platform C library, recorded so the artifact shows
# whether NumPy's own kernel IS the libm on the machine that produced it.
# SAMPLE: 20049 of 2034617 distinct inputs (even stride over the sorted domain, both endpoints, plus every numpy/libm disagreement). Regenerate the complete stream with --full; verify it against the summary's digests.
fn	input	numpy	libm
exp	0x3e66ef16e2eb0859	0x3ff000000b778b76	0x3ff000000b778b76
exp	0x3ec5c8b90d2165fd	0x3ff00002b9175cf6	0x3ff00002b9175cf6
exp	0x3ed5da2c4400e800	0x3ff00005768bffc3	0x3ff00005768bffc3
exp	0x3ee00f264ddf964b	0x3ff0000807952abb	0x3ff0000807952abb
exp	0x3ee5ba8189af1bcc	0x3ff0000add44751b	0x3ff0000add44751b
exp	0x3eeae0f85b849496	0x3ff0000d7081d2b4	0x3ff0000d7081d2b4
exp	0x3ef06cd35da02ccd	0x3ff000106cdbcbe9	0x3ff000106cdbcbe9
exp	0x3ef2ccae42fa53fc	0x3ff00012ccb94e60	0x3ff00012ccb94e60
exp	0x3ef5989b96de15a0	0x3ff0001598aa2a09	0x3ff0001598aa2a09
exp	0x3ef88b29c8e8da3c	0x3ff000188b3c9c0e	0x3ff000188b3c9c0e
exp	0x3efa84ade1330beb	0x3ff0001a84c3db00	0x3ff0001a84c3db00
exp	0x3efcd0ccf4021b0d	0x3ff0001cd0e6e6cb	0x3ff0001cd0e6e6cb
exp	0x3eff56f73a5022bb	0x3ff0001f5715ebd0	0x3ff0001f5715ebd0
exp	0x3f00e20d9ac4b3c9	0x3ff00021c43ed6cc	0x3ff00021c43ed6cc
exp	0x3f020cb6b2e37580	0x3ff0002419961f30	0x3ff0002419961f30
exp	0x3f0368139e623062	0x3ff00026d0565092	0x3ff00026d0565092
exp	0x3f04ffdb22e85ef8	0x3ff00029ffed653f	0x3ff00029ffed653f
exp	0x3f0631a5b8632890	0x3ff0002c63890343	0x3ff0002c63890343
exp	0x3f077523b7d43322	0x3ff0002eea8c382c	0x3ff0002eea8c382c
exp	0x3f08ae1f59b1be84	0x3ff000315c8ad73c	0x3ff000315c8ad73c
exp	0x3f0a0fa200673d50	0x3ff000341f98e6e6	0x3ff000341f98e6e6
exp	0x3f0b55714d4e77b0	0x3ff00036ab3fff55	0x3ff00036ab3fff55
exp	0x3f0c96300d7ec430	0x3ff000392cc641cb	0x3ff000392cc641cb
exp	0x3f0dcaa4cfe6a81a	0x3ff0003b95b8918f	0x3ff0003b95b8918f
exp	0x3f0f3d717afb4df6	0x3ff0003e7b5cf49d	0x3ff0003e7b5cf49d
exp	0x3f102b9f2acd7aea	0x3ff00040aeff6990	0x3ff00040aeff6990
exp	0x3f10d8b44eca4b80	0x3ff00043635f22ee	0x3ff00043635f22ee
exp	0x3f11a3145f2e9a37	0x3ff000468ced05eb	0x3ff000468ced05eb
exp	0x3f1254d65a9fe054	0x3ff00049540170a1	0x3ff00049540170a1
exp	0x3f12f028190382f1	0x3ff0004bc153b8a0	0x3ff0004bc153b8a0
exp	0x3f13a71d6460f3ac	0x3ff0004e9d36b07a	0x3ff0004e9d36b07a
exp	0x3f145cf4e2bd7cd7	0x3ff0005174a2e058	0x3ff0005174a2e058
exp	0x3f152473b56d9770	0x3ff0005492ae5756	0x3ff0005492ae5756
exp	0x3f15d56cd0cf5255	0x3ff0005756a19fd3	0x3ff0005756a19fd3
exp	0x3f168a42ba55f1c0	0x3ff0005a2a08f247	0x3ff0005a2a08f247
exp	0x3f1731f2d63ddb06	0x3ff0005cc8d85cb0	0x3ff0005cc8d85cb0
exp	0x3f17d841b51c3b7c	0x3ff0005f62231fe5	0x3ff0005f62231fe5
exp	0x3f187703bdb63830	0x3ff00061dd3a3d3f	0x3ff00061dd3a3d3f
exp	0x3f194668baba2ebb	0x3ff000651ae25772	0x3ff000651ae25772
exp	0x3f19e00825a2e169	0x3ff00067816f5c30	0x3ff00067816f5c30
exp	0x3f1a9b1566374f9e	0x3ff0006a6db78b14	0x3ff0006a6db78b14
exp	0x3f1b4b32f98d8f46	0x3ff0006d2e4062f1	0x3ff0006d2e4062f1
exp	0x3f1be10d19943798	0x3ff0006f85b90925	0x3ff0006f85b90925
exp	0x3f1c8bf1a95464cb	0x3ff00072315e1dca	0x3ff00072315e1dca
exp	0x3f1d464b3a798674	0x3ff000751ad96e28	0x3ff000751ad96e28
exp	0x3f1dfc578db9f418	0x3ff00077f31fcd95	0x3ff00077f31fcd95
exp	0x3f1ea272d86ba938	0x3ff0007a8ba0a35d	0x3ff0007a8ba0a35d
exp	0x3f1f5f0c06aa4da0	0x3ff0007d7e1c33c9	0x3ff0007d7e1c33c9
exp	0x3f200c88839efb36	0x3ff00080664745b5	0x3ff00080664745b5
exp	0x3f20624891993a30	0x3ff00083145d7020	0x3ff00083145d7020
exp	0x3f20b53290e49984	0x3ff00085abc2da5d	0x3ff00085abc2da5d
exp	0x3f2108e5624ec356	0x3ff00088496f7672	0x3ff00088496f7672
exp	0x3f215e4cb7d8265d	0x3ff0008af4c1176d	0x3ff0008af4c1176d
exp	0x3f21b85756efba9b	0x3ff0008dc52ebf6b	0x3ff0008dc52ebf6b
exp	0x3f220910c4625db5	0x3ff000904b10b812	0x3ff000904b10b812
exp	0x3f226cd09cbc2f4d	0x3ff00093692be534	0x3ff00093692be534
exp	0x3f22bc3aac7eff40	0x3ff00095e49371d5	0x3ff00095e49371d5
exp	0x3f23179b7e4aa547	0x3ff00098bfb501e9	0x3ff00098bfb501e9
exp	0x3f2371f82fec0752	0x3ff0009b92b5c41b	0x3ff0009b92b5c41b
exp	0x3f23bc84b6f566c1	0x3ff0009de730cebb	0x3ff0009de730cebb
exp	0x3f24128f40f1b790	0x3ff000a0979fe18b	0x3ff000a0979fe18b
exp	0x3f246c6fdc5a8002	0x3ff000a366c12cbe	0x3ff000a366c12cbe
exp	0x3f24be8828e145dc	0x3ff000a5f79df8d3	0x3ff000a5f79df8d3
exp	0x3f250e93ee4a4707	0x3ff000a8781648ae	0x3ff000a8781648ae
exp	0x3f2552e76c0f9420	0x3ff000aa9ac8d6be	0x3ff000aa9ac8d6be
exp	0x3f25aa069dbc8088	0x3ff000ad53dfa727	0x3ff000ad53dfa727
exp	0x3f25f8e8c4625404	0x3ff000afcb0bc14b	0x3ff000afcb0bc14b
exp	0x3f263e050b67f70a	0x3ff000b1f405d95d	0x3ff000b1f405d95d
exp	0x3f268fa4d4ae8482	0x3ff000b48120b644	0x3ff000b48120b644
exp	0x3f26e1a377107094	0x3ff000b71132e60f	0x3ff000b71132e60f
exp	0x3f27421588bab8bf	0x3ff000ba14e63813	0x3ff000ba14e63813
